Error_NR Error_NR_EX
0.000178671618362523 1.07288737341733e-05
0.000184295125702626 1.07296626654772e-05
0.00019019541546992 1.07279610548578e-05
0.000196338978905982 1.07237236970988e-05
0.000202687888126199 1.07169057606694e-05
0.00020920033747522 1.07074630611539e-05
0.000215831175302605 1.06953523645608e-05
0.000222532416213124 1.06805317195732e-05
0.000229253730034729 1.0662960818285e-05
0.000235942908541799 1.06426013848327e-05
0.000242546314290458 1.0619417589262e-05
0.000249009318130293 1.05933764860034e-05
0.000255276733170469 1.0564448473145e-05
0.000261293253608102 1.05326077708244e-05
0.000267003907086846 1.04978329136007e-05
0.000272354529416148 1.04601072552607e-05
0.000277292270709753 1.04194194788738e-05
0.000281766142455777 1.03757641103708e-05
0.000285727615874307 1.03291420272029e-05
0.000289131283254071 1.02795609596172e-05
0.00029193559588684 1.02270359763785e-05
0.000294103694928067 1.01715899499904e-05
0.000295604355050102 1.01132539949593e-05
0.00029641306528448 1.00520678728285e-05
0.000296513276995048 9.98808035757869e-06
0.000295897855418584 9.9213495551631e-06
0.000294570778346949 9.85194317180882e-06
0.000292549132356005 9.77993872509571e-06
0.000289865461860622 9.70542369348076e-06
0.000286570525578344 9.6284955998811e-06
0.000282736502748986 9.5492620265302e-06
0.000278460657254782 9.46784055929149e-06
0.000273869395563556 9.38435866056762e-06
0.000269122521331524 9.29895347285488e-06
0.000264417268121607 9.21177155549471e-06
0.000259991360563187 9.12296856099992e-06
0.000256123923474532 9.03270885759277e-06
0.000253132617515227 8.94116511095733e-06
0.000251365155767749 8.84851783688841e-06
0.000251183728074806 8.75495494419051e-06
0.000252942224913803 8.66067128747413e-06
0.000256958551640358 8.56586825551861e-06
0.000263487001429712 8.47075342307683e-06
0.000272697083380712 8.37554029945532e-06
0.000284664030127586 8.28044820970481e-06
0.000299372587994762 8.18570234840775e-06
0.000316731509832043 8.09153404950231e-06
0.000336593626371009 7.99818131697059e-06
0.000358776313800958 7.90588966372535e-06
0.000383078846310343 7.81491330543004e-06
0.000409295185750385 7.7255167548973e-06
0.000437222300594198 7.63797685936019e-06
0.000466664882816835 7.55258531545084e-06
0.000497437519303688 7.46965168948838e-06
3.57197077329513e-09 7.38950695407078e-06
3.6602694838673e-09 7.31250753817328e-06
3.70149335578211e-09 7.23903986090322e-06
3.69275428534763e-09 7.16952529208372e-06
3.63125856395414e-09 7.10442544787341e-06
3.51430619263709e-09 7.04424768457874e-06
3.33930089545314e-09 6.98955060815154e-06
3.10378137253901e-09 6.94094936189714e-06
2.80549819875789e-09 6.89912039855776e-06
2.44261045520765e-09 6.86480538746902e-06
2.55526882711153e-09 6.83875924007599e-06
2.08103424981112e-09 6.82164444238378e-06
1.53971296446105e-09 6.8143574628238e-06
9.49389046808718e-10 6.81790967702539e-06
4.69368204491847e-10 6.83336477635147e-06
8.20862086818562e-10 6.86182846532419e-06
