Error_NR Error_NR_EX
2.5186181898421e-09 2.91942081500226e-11
2.37465964953595e-09 2.79759285508941e-11
2.21997437167666e-09 2.67294805508548e-11
2.05471408756484e-09 2.54586173872098e-11
1.87913682831131e-09 2.41673383969934e-11
1.69365328718204e-09 2.2860181436749e-11
1.49891405556051e-09 2.15425380351142e-11
1.29598665348509e-09 2.02203708649798e-11
1.086753770376e-09 1.89007490558129e-11
8.74921298665005e-10 1.75918280982456e-11
6.68947289266636e-10 1.63035499885445e-11
4.91494176952944e-10 1.50475962325174e-11
4.02502987951005e-10 1.38386091453376e-11
4.7186800677277e-10 1.26944470051842e-11
6.60814287535138e-10 1.16371365314113e-11
9.03482213778072e-10 1.06935301020331e-11
1.17154025610734e-09 9.89472410100154e-12
1.45428217148081e-09 9.27391665330874e-12
1.74683616303793e-09 8.86132430700894e-12
2.04643512048941e-09 8.67635076418434e-12
2.35116535201436e-09 8.720457411516e-12
2.65948775631932e-09 8.9749471360553e-12
2.97003211038487e-09 9.40585701840996e-12
3.28150037641863e-09 9.97231523999262e-12
3.59261838836494e-09 1.06339890363223e-11
3.90211108915555e-09 1.13553925953343e-11
4.2086896791237e-09 1.21068787657978e-11
4.51104612310834e-09 1.28644965886418e-11
4.80785162525003e-09 1.36091932107281e-11
5.09775768057782e-09 1.43254221896394e-11
5.37939913458833e-09 1.50003759553133e-11
5.65139889587117e-09 1.56237677385449e-11
5.91237314193041e-09 1.61867189784367e-11
6.16093783974228e-09 1.66816740035726e-11
6.39571589778319e-09 1.71024379461181e-11
6.61534512868337e-09 1.74434419132876e-11
6.81848638925094e-09 1.7700093264172e-11
7.00383224986346e-09 1.78685402969152e-11
7.17011668468214e-09 1.7945610570991e-11
7.31612421273932e-09 1.79288453404053e-11
7.44069986483033e-09 1.78165419087457e-11
7.54275891979691e-09 1.7607961699776e-11
7.62129714532177e-09 1.73030577375121e-11
7.67540087749718e-09 1.69030929886379e-11
7.70425678647734e-09 1.64103390833114e-11
7.70716174840027e-09 1.58289220040651e-11
7.68353246865277e-09 1.51649450612912e-11
7.63291388297795e-09 1.44272460706385e-11
7.55498933851792e-09 1.36285540267008e-11
7.44958701645592e-09 1.27867728236329e-11
7.31668874075027e-09 1.19274856793598e-11
7.15643641515749e-09 1.10867725478864e-11
6.96913806249475e-09 1.03152237104033e-11
6.75527380275608e-09 9.68067574463173e-12
6.51550034617505e-09 9.26681088772977e-12
6.25065521081542e-09 9.16076799118404e-12
5.96176098210194e-09 9.428471420369e-12
5.65002922101711e-09 1.00915775932561e-11
5.31686467390756e-09 1.11247692339609e-11
4.96387185773405e-09 1.24750827987572e-11
4.59286524975637e-09 1.40840016882193e-11
4.20588556710787e-09 1.58997451999572e-11
3.80523021697872e-09 1.78807485131238e-11
3.39351054034203e-09 1.999465416342e-11
2.97376035424586e-09 2.22162732712004e-11
2.54966196413865e-09 2.4525420141569e-11
2.12603838213894e-09 2.69056582321014e-11
1.7100402776095e-09 2.93428916426986e-11
1.31433416431339e-09 3.18250383982955e-11
9.665405041741e-10 3.43411608018553e-11
7.34087808095561e-10 3.68813658912715e-11
7.25194993962156e-10 3.94366325211209e-11
9.32580360337372e-10 4.19984869028903e-11
1.23902075295326e-09 4.45590918335063e-11
1.57426720697025e-09 4.71109979870944e-11
1.90975929338384e-09 4.96474372026258e-11
2.23226533624768e-09 5.21620335017006e-11
2.53409937680001e-09 5.46489057708314e-11
2.80984800659136e-09 5.71026942901054e-11
3.05515719143575e-09 5.95186350554999e-11
3.26622826468868e-09 6.18925184644351e-11
3.43958670374101e-09 6.42206951883206e-11
3.57197055765034e-09 6.65001980362817e-11
3.6602694838673e-09 6.87287115957468e-11
3.70149335578211e-09 7.09046418786146e-11
3.69275428534763e-09 7.30271556545792e-11
3.63125856395414e-09 7.50962349618583e-11
3.51430619263709e-09 7.71125537444344e-11
3.33930089545314e-09 7.90778006212809e-11
3.10378137253901e-09 8.09945378410958e-11
2.80549819875789e-09 8.28661684291035e-11
2.44261045520765e-09 8.46972250913001e-11
2.55526882711153e-09 8.64916802553771e-11
2.08103424981112e-09 8.82504385579078e-11
1.53971296446105e-09 8.99792698312123e-11
9.49389046808718e-10 9.16865064250908e-11
4.69368204491847e-10 9.33817037346322e-11
8.20862086818562e-10 9.50754797353402e-11
1.6307249521171e-09 9.6779789051756e-11
2.5745157480709e-09 9.85077849072649e-11
3.61787318350119e-09 1.00273818665529e-10
4.7550853777802e-09 1.02093584616644e-10
5.98550996430451e-09 1.03984118432008e-10
7.30996104577702e-09 1.05963636051522e-10
8.72980404514792e-09 1.08051816657823e-10
1.02466507450357e-08 1.10269668862264e-10
1.18622265038442e-08 1.12639625592696e-10
1.35782958049546e-08 1.15185501879776e-10
1.53966049704647e-08 1.17932529187235e-10
1.73188287173829e-08 1.20907517693116e-10
1.93465113748124e-08 1.24138635383626e-10
2.14810024530176e-08 1.27655760854789e-10
2.37233808536991e-08 1.31490203308921e-10
2.6074370050247e-08 1.35674996612503e-10
2.85342390813889e-08 1.40244666654867e-10
3.11026969120445e-08 1.45235544804586e-10
3.37787658857688e-08 1.50685552746184e-10
3.65606535761037e-08 1.56634326381391e-10
3.94456021149804e-08 1.63123200166933e-10
4.24297321485338e-08 1.70195148783203e-10
4.55078699548843e-08 1.77894762172391e-10
4.86733675354378e-08 1.86268256899697e-10
5.19179044420445e-08 1.95363273268508e-10
5.52312861295233e-08 2.05228788462776e-10
5.86012251121917e-08 2.15915079309339e-10
6.20131168980097e-08 2.27473458089927e-10
6.54498030844629e-08 2.39955979411737e-10
6.88913300709027e-08 2.53415198946938e-10
7.23147015600908e-08 2.67904022407748e-10
7.56936242057157e-08 2.83475090237207e-10
7.89982556081151e-08 3.00180647656378e-10
8.21949545301184e-08 3.18071712952876e-10
8.52460396604606e-08 3.37197773896356e-10
8.81095660350896e-08 3.57606045187078e-10
9.07391272677077e-08 3.79341180266703e-10
9.30836985372791e-08 4.02443619566623e-10
9.50875447407415e-08 4.26949821271675e-10
9.66902184386493e-08 4.52890503344367e-10
9.78266969329569e-08 4.80289952430881e-10
9.84277185522759e-08 5.09164802221565e-10
9.84204302577058e-08 5.39522983463075e-10
9.7729502006815e-08 5.71362213682129e-10
9.62789915438828e-08 6.04668632211187e-10
