Tiempo_total_NR Tiempo_total_NR_EX tiempo_puntos_NR tiempo_puntos_NR_EX
150.0550417 170.638294 0.4136486 0.4660777
150.4720791 171.0990546 0.4170374 0.4607606
150.8864112 171.5555189 0.4143321 0.4564643
151.3077479 172.0110341 0.4213367 0.4555152
151.7605353 172.4713009 0.4527874 0.4602668
152.169908 172.9343979 0.4093727 0.463097
152.5818378 173.388797 0.4119298 0.4543991
153.0009478 173.8515653 0.41911 0.4627683
153.4191619 174.3151114 0.4182141 0.4635461
153.8320376 174.7759414 0.4128757 0.46083
154.2497086 175.2341362 0.417671 0.4581948
154.6619023 175.6986587 0.4121937 0.4645225
155.0745131 176.1599751 0.4126108 0.4613164
155.4888381 176.6247843 0.414325 0.4648092
155.9009811 177.0851954 0.412143 0.4604111
156.3133904 177.5470826 0.4124093 0.4618872
156.7301153 178.0113243 0.4167249 0.4642417
157.1421117 178.464439 0.4119964 0.4531147
157.5583618 178.9252309 0.4162501 0.4607919
157.974739 179.3917052 0.4163772 0.4664743
158.3871288 179.8920751 0.4123898 0.5003699
158.8034239 180.3549854 0.4162951 0.4629103
159.2160582 180.826396 0.4126343 0.4714106
159.625698 181.305792 0.4096398 0.479396
160.0418022 181.7686792 0.4161042 0.4628872
160.4555526 182.2312193 0.4137504 0.4625401
160.8692999 182.6900397 0.4137473 0.4588204
161.284131 183.1525912 0.4148311 0.4625515
161.7059844 183.6463632 0.4218534 0.493772
162.114158 184.1110849 0.4081736 0.4647217
162.5268382 184.5701429 0.4126802 0.459058
162.9418189 185.0308493 0.4149807 0.4607064
163.3563906 185.4855563 0.4145717 0.454707
163.7703802 185.9499431 0.4139896 0.4643868
164.224913 186.4196168 0.4545328 0.4696737
164.6354676 186.8803152 0.4105546 0.4606984
165.0553532 187.3415606 0.4198856 0.4612454
165.4644204 187.8034452 0.4090672 0.4618846
165.8738194 188.2671125 0.409399 0.4636673
166.2884488 188.7326328 0.4146294 0.4655203
166.7029468 189.1964033 0.414498 0.4637705
167.1127667 189.6569475 0.4098199 0.4605442
167.5283704 190.1153038 0.4156037 0.4583563
167.9400091 190.5741725 0.4116387 0.4588687
168.3522088 191.0364958 0.4121997 0.4623233
168.7640716 191.488808 0.4118628 0.4523122
169.1867018 191.9488229 0.4226302 0.4600149
169.5997728 192.4062934 0.413071 0.4574705
170.0136238 192.8681663 0.413851 0.4618729
170.4202022 193.3315057 0.4065784 0.4633394
170.8447133 193.7916391 0.4245111 0.4601334
171.4248433 194.2579292 0.58013 0.4662901
171.9274498 194.7259017 0.5026065 0.4679725
172.4212841 195.1894356 0.4938343 0.4635339
172.8333934 195.6521831 0.4121093 0.4627475
173.2534675 196.1204364 0.4200741 0.4682533
173.6624716 196.5807962 0.4090041 0.4603598
174.0744133 197.0400168 0.4119417 0.4592206
174.4871168 197.4950323 0.4127035 0.4550155
174.8970294 197.9560752 0.4099126 0.4610429
175.3074865 198.4183674 0.4104571 0.4622922
175.7242079 198.8773958 0.4167214 0.4590284
176.1349066 199.341329 0.4106987 0.4639332
176.5507802 199.8010444 0.4158736 0.4597154
176.97666 200.2673977 0.4258798 0.4663533
177.4230941 200.7364409 0.4464341 0.4690432
177.8383489 201.1982696 0.4152548 0.4618287
178.2512872 201.6581126 0.4129383 0.459843
178.6595509 202.1275612 0.4082637 0.4694486
179.0769442 202.5857572 0.4173933 0.458196
179.4858077 203.0465057 0.4088635 0.4607485
179.8987597 203.5107395 0.412952 0.4642338
180.313736 203.9682931 0.4149763 0.4575536
180.7239153 204.4292331 0.4101793 0.46094
181.1395104 204.8894749 0.4155951 0.4602418
181.5506403 205.3544553 0.4111299 0.4649804
181.9622633 205.8157108 0.411623 0.4612555
182.3754011 206.2717815 0.4131378 0.4560707
182.79371 206.7391949 0.4183089 0.4674134
183.2020743 207.1987226 0.4083643 0.4595277
183.6197174 207.66064 0.4176431 0.4619174
184.0355891 208.1263272 0.4158717 0.4656872
184.4489247 208.5823959 0.4133356 0.4560687
184.9163143 209.0422296 0.4673896 0.4598337
185.3347625 209.507808 0.4184482 0.4655784
185.7586982 209.9698909 0.4239357 0.4620829
186.1663879 210.4304339 0.4076897 0.460543
186.5775649 210.9013375 0.411177 0.4709036
186.9869557 211.3621893 0.4093908 0.4608518
187.3972841 211.8162569 0.4103284 0.4540676
187.9050379 212.2758181 0.5077538 0.4595612
188.4123093 212.7350608 0.5072714 0.4592427
188.9217678 213.1922626 0.5094585 0.4572018
189.4393968 213.6488576 0.517629 0.456595
189.9493277 214.1129075 0.5099309 0.4640499
190.4565301 214.5703804 0.5072024 0.4574729
191.0007175 215.0332539 0.5441874 0.4628735
191.5194255 215.4915225 0.518708 0.4582686
192.0310676 215.9544615 0.5116421 0.462939
192.5430722 216.5295878 0.5120046 0.5751263
193.047865 217.3180302 0.5047928 0.7884424
193.4582654 217.851565 0.4104004 0.5335348
193.8710598 218.3156552 0.4127944 0.4640902
194.280736 218.7732702 0.4096762 0.457615
194.7293854 219.2325926 0.4486494 0.4593224
195.1336331 219.6871297 0.4042477 0.4545371
195.5537343 220.1506264 0.4201012 0.4634967
195.9638374 220.612064 0.4101031 0.4614376
196.3776706 221.0786533 0.4138332 0.4665893
196.7859775 221.5451605 0.4083069 0.4665072
197.1987148 222.0110382 0.4127373 0.4658777
197.603978 222.4754294 0.4052632 0.4643912
198.014617 222.9422207 0.410639 0.4667913
198.4239049 223.4037328 0.4092879 0.4615121
198.8363221 223.8636356 0.4124172 0.4599028
199.2537446 224.3232977 0.4174225 0.4596621
199.66824 224.7860672 0.4144954 0.4627695
200.0830209 225.2477777 0.4147809 0.4617105
200.4970688 225.706924 0.4140479 0.4591463
200.9213608 226.17551 0.424292 0.468586
201.3450846 226.6440806 0.4237238 0.4685706
201.7629254 227.1258154 0.4178408 0.4817348
202.1752584 227.5889473 0.412333 0.4631319
202.5930886 228.0495591 0.4178302 0.4606118
203.0459163 228.5120644 0.4528277 0.4625053
203.4606631 228.9717729 0.4147468 0.4597085
203.8758752 229.4354328 0.4152121 0.4636599
204.3437456 229.9035427 0.4678704 0.4681099
204.8439816 230.367726 0.500236 0.4641833
205.2563603 230.8322335 0.4123787 0.4645075
205.6651944 231.3073822 0.4088341 0.4751487
206.0846029 231.7746873 0.4194085 0.4673051
206.4912097 232.2417536 0.4066068 0.4670663
206.8995772 232.7060059 0.4083675 0.4642523
207.3183805 233.1745757 0.4188033 0.4685698
207.7301251 233.6369764 0.4117446 0.4624007
208.1409722 234.0998947 0.4108471 0.4629183
208.5618329 234.5671945 0.4208607 0.4672998
208.9749571 235.0337922 0.4131242 0.4665977
209.4478419 235.4957847 0.4728848 0.4619925
209.9337154 235.9619223 0.4858735 0.4661376
210.3472571 236.4276739 0.4135417 0.4657516
210.7572711 236.8945725 0.410014 0.4668986
211.1760208 237.3649366 0.4187497 0.4703641
211.5883622 237.8306399 0.4123414 0.4657033
212.0019273 238.2937189 0.4135651 0.463079
212.4093003 238.756919 0.407373 0.4632001
212.822189 239.2148242 0.4128887 0.4579052
213.2393725 239.6748716 0.4171835 0.4600474
213.6571763 240.1780596 0.4178038 0.503188
214.0697011 240.6406342 0.4125248 0.4625746
214.5114812 241.1049277 0.4417801 0.4642935
214.9262499 241.5672562 0.4147687 0.4623285
215.3413121 242.030412 0.4150622 0.4631558
215.7557115 242.4865879 0.4143994 0.4561759
216.1657186 242.9583535 0.4100071 0.4717656
216.5886983 243.4322343 0.4229797 0.4738808
216.9982402 243.8932128 0.4095419 0.4609785
217.4443454 244.3948557 0.4461052 0.5016429
217.8541356 244.850324 0.4097902 0.4554683
218.2650043 245.3089781 0.4108687 0.4586541
218.6799719 245.7641963 0.4149676 0.4552182
219.0872089 246.231327 0.407237 0.4671307
219.5029591 246.6969928 0.4157502 0.4656658
219.9114461 247.1609678 0.408487 0.463975
220.3230125 247.6194187 0.4115664 0.4584509
220.7358953 248.077893 0.4128828 0.4584743
221.1418774 248.5401608 0.4059821 0.4622678
221.5596079 248.9902589 0.4177305 0.4500981
221.9761457 249.4459387 0.4165378 0.4556798
222.3894797 249.9072105 0.413334 0.4612718
222.8033994 250.364532 0.4139197 0.4573215
223.21582 250.8248296 0.4124206 0.4602976
223.6324517 251.2868198 0.4166317 0.4619902
224.0432784 251.753614 0.4108267 0.4667942
224.4546152 252.2123059 0.4113368 0.4586919
224.8629143 252.6695632 0.4082991 0.4572573
225.2746186 253.1382526 0.4117043 0.4686894
